Unnamed: 0,authors,published_date,description,isbn_10,isbn_13,page_count,categories,maturity_rating,language,join_isbn_10
,['Shirley MacLaine'],1987,"The noted actress retraces her personal odyssey and earlier investigations into the metaphysical world in order to come to terms with what she has learned, understand how her quest has changed her life, and determine her future path",0553052179,9780553052176.0,364.0,['Biography & Autobiography'],NOT_MATURE,en,0553052179
,['Warren Smith'],1975,,0890831149,9780890831144.0,220.0,['Pyramids'],NOT_MATURE,en,0890831149
,,,,,,,,,,0446349283
,"['Noel Langley', 'Doris Agee', 'Edgar Cayce', 'W. H. McGary', 'Association for Research and Enlightenment, Inc. Staff', 'Harmon H. Bro', 'Hugh Lynn Cayce']",1989-06,"This collection of case studies, taken from the files of the late clairvoyant Edgar Cayce, explores the concept of reincarnation in terms of the beliefs of Christianity.",0446357847,9780446357845.0,286.0,"['Body, Mind & Spirit']",NOT_MATURE,en,0446357847
,,,,,,,,,,0446351024
,"['Mary Ann Woodward', 'Edgar Cayce']",1971,"World renowned prophet and psychic Edgar Cayce gave a series of clairvoyant trance readings revolving around the central theme of reincarnation. Although Cayce was a practicing Christian, his trance readings frequently embraced concepts of Oriental religions. From these discourses comes this explanation of the powerful life forces generated by personal actions which can bless or plague us through many lifetimes.",0425102467,9780425102466.0,283.0,['Fiction'],NOT_MATURE,en,0425102467
,['E. M. Bard'],1980,"A school psychologist provides tests for determining a cat's I.Q. through observation and the use of common objects to evaluate reactions, social skills, and powers of reasoning",0385155174,9780385155175.0,100.0,['Psychology'],NOT_MATURE,en,0385155174
,['Farley Mowat'],1984-06,For use in schools and libraries only. A canine character named Mutt refuses to accept the limitations of being a dog.,0553246410,9780553246414.0,195.0,['Canadian literature'],NOT_MATURE,en,0553246410
,['Pierre Berton'],2001,"To America's leaders in 1812, an invasion of Canada seemed to be ""a mere matter of marching,"" as Thomas Jefferson confidently predicted. How could a nation of 8 million fail to subdue a struggling colony of 300,000? Yet, when the campaign of 1812 ended, the only Americans left on Canadian soil were prisoners of war. Three American armies had been forced to surrender, and the British were in control of all of Michigan Territory and much of Indiana and Ohio. In this remarkable account of the war's first year and the events that led up to it, Pierre Berton transforms history into an engrossing narrative that reads like a fast-paced novel. Drawing on personal memoirs and diaries as well as official dispatches, the author has been able to get inside the characters of the men who fought the war — the common soldiers as well as the generals, the bureaucrats and the profiteers, the traitors and the loyalists. Berton believes that if there had been no war, most of Ontario would probably be American today; and if the war had been lost by the British, all of Canada would now be part of the United States. But the War of 1812, or more properly the myth of the war, served to give the new settlers a sense of community and set them on a different course from that of their neighbours.",9780385658393,385658397.0,368.0,['History'],NOT_MATURE,en,0385658397
,,,,,,,,,,0070927774
,['J. Douglas Harvey'],1983-01-01,"Doug Harvey was just twenty when he went to Britain to fly bombers night after night over Germany. Like hundreds of other young Canadians, he discovered love, sex, fighting, dying, booze and European living - all at once. In this compelling, lively book he remembers in viivd detail the joys and horrors of war in the air.",0887801072,9780887801075.0,210.0,['Biography & Autobiography'],NOT_MATURE,en,0887801072
,['Mark F. Heffron'],1995-06,"A collection of photographs, combined with poetry and poetic impressions by such writers as Rainer Maria Rilke, Rachel Carson, John Muir, Samuel Taylor Coleridge, W.B. Yeats, Thornton Wilder, Pierre-Auguste Renoir, Jules Laforgue, Robert Lowell, Robert Penn Warren, and Aldo Leopold.",0831748664,9780831748661.0,88.0,['Iowa'],NOT_MATURE,en,0831748664
,,1993,This seventh edition includes both important tours by members of the royal family as well as some more informal moments at home and on holiday.,1854791788,9781854791788.0,96.0,,NOT_MATURE,en,1854791788
,['Frances Vaughan'],1995-05-24,"The philosophical depth, psychological insight, and spiritual guidance of A Course in Miracles have been an extraordinary treasure of wisdom for millions of readers worldwide since its original publication in 1976. The reason for its popularity is simple: It deals directly with the root causes of human suffering and proposes the means through which we can return to our natural state of wholeness and peace. This volume, beautifully illustrated with more than 125 photographs by award-winning photographer Jane English, brings together the most evocative and inspirational selections from the Course and contains the entire texts of three previously published books, Accept this Gift, A Gift of Healing, and A Gift of Peace. Exceptionally poetic and moving, these succinct, powerful passages readily stand by themselves as potent capsules of profound inner wisdom, and as tools for our hearts and minds in the wider world.",9780874778038,874778034.0,0.0,['Religion'],NOT_MATURE,en,0874778034
,,,,,,,,,,087069734X
,['Anthony Curtis'],2000-12,"A guide to antiques and collectibles features entries for thousands of items, including clocks, furniture, dishes, glass, jewelry, books, toys, and silver",0399526412,9780399526411.0,676.0,['Antiques & Collectibles'],NOT_MATURE,en,0399526412
,"['Mary Payton', 'Geoffrey Payton']",1973,,0723215189,9780723215189.0,192.0,['Porcelain'],NOT_MATURE,en,0723215189
,['Bob Thomas'],1977,"Bing Crosby. No performer will ever be remembered with more affection. For over forty years, this golden-voiced crooner delighted the world with his easy charm and graceful style. He made ""White Christmas"" a holiday tradition. His ""Road"" movies with Bob Hope and Dorothy Lamour are classics of zany comedy. He raised spirits during the Depression, entertained our soldiers during the war, and consistently reassures us that life is a joy and the virtue will be rewarded. Bing's popularity has endured through three generations. And no one remembers him with more affection than author/journalist Bob Thomas in this joyous memoir of Crosby's career and life. You can share again the special moments of the great Bing Crosby's remarkable career. Filled with many rare photographs and anecdotes of Bing, his family, and friends, and featuring an illustrated filmography and a list of his greatest hits, The One and Only Bing is an admiring tribute to an unparalleled singer, a fine actor, and a great man.",PSU:000000261203,,150.0,['Biographies'],NOT_MATURE,en,0448146703
,['Robert E. Davidson'],2000,"The twisted relationship between a battered woman and her tormentor and husband is fully explored here, using court records and hundreds of interviews with everyone involved to answer why the wife chose to kill rather than walk away. Original.",0449005429,9780449005422.0,341.0,['True Crime'],NOT_MATURE,en,0449005429
,['Jack Douglas'],1977-01-02,,0671811177,9780671811174.0,197.0,['Ontario'],NOT_MATURE,en,0671811177
,['Nancy Kilpatrick'],1994,"As David Lyle Hardwick and his beautiful human companion, Zero, a wounded woman fleeing a dangerous past, travel the world in search of his enemies, David discovers that he is being transformed into nosferatu, a creature of unspeakable, tormented passions. Original.",067188090X,9780671880903.0,308.0,['Fiction'],NOT_MATURE,en,067188090X
,['Lottie L. Riekehof'],1963,A practical visual guide useful to anyone wishing to master the sign language and the manual alphabet.,IND:30000007070000,,168.0,['Language Arts & Disciplines'],NOT_MATURE,en,0882436120
,['Kent Allard'],1998-09,"A shocking account that explores the twisted psyche of a serial killer and the legal system that unleashed him upon society profiles Larry Singleton, responsible for the brutal 1977 mutilation of a young girl, who was released after serving eight years in prison only to viciously stab to death another woman. Original.",IND:30000086863242,,272.0,['True Crime'],NOT_MATURE,en,0786005572
,,,,,,,,,,0771090994
,['Don Trembath'],1996,"Doing poorly at school and in trouble with the law, fifteen-year-old Harper Winslow is forced to join a writing class and to write an essay on how he plans to turn his life around.",1551430746,9781551430744.0,0.0,['Juvenile Fiction'],NOT_MATURE,en,1551430746
,['Suzanne Finstad'],1992,"An account of the murder of former beauty queen Barbara Piotrowski describes how her fitness junkie, Texas millionaire husband harassed his wife after she left him and then hired a gunman to kill her. Reprint. K.",IND:30000025816053,,362.0,['Adultery'],NOT_MATURE,en,0380719320
,,,,,,,,,,0451409337
,['Diana Palmer'],1997,"A trio of earlier novels from the Long, Tall Texan saga follows the romantic adventures of Harden, Evan, and Donavan and the women who love them. Reprint.",0373201370,9780373201372.0,586.0,['Fiction'],NOT_MATURE,en,0373201370
,['Charlotte Vale Allen'],1984-12,,1892738066,9781892738066.0,328.0,['Fiction'],NOT_MATURE,en,1892738066
,['Eli Mandel'],1972,"The 1960s ushered in a new wave of Canadian poets and a unique period in Canadian cultural history. Individually and as a group these writers undertook new approaches to their craft. Leonard Cohen, Margaret Atwood, John Newlove, George Bowering, Gwendolyn MacEwen, bill bissett, and Michael Ondaatje set the tone for what was called the “now generation,” while Milton Acorn and Al Purdy bridge the gap from the previous generation. This important anthology affirms the continuation of Canada’s unique poetic tradition.",0771095066,9780771095061.0,141.0,['Poetry'],NOT_MATURE,en,0771095066
,,,,,,,,,,0771597215
,,,,,,,,,,0888626983
,,,,,,,,,,0140100237
,['Audrey Callahan Thomas'],1999-01-01,"In 1806 Isobel Gunn, a young Orkney woman, disguised herself as a man and lived among the men of The Company of Adventurers in Canada. She managed to keep her true gender a secret for a year before she was discovered to be a woman about to give birth. Based on a few historical facts, this novel questions how a woman managed to maintain her disguise as a man in a harsh environment, and how she came to be pregnant without her co-workers discovering she was a woman.",067088684X,9780670886845.0,230.0,['Gender identity'],NOT_MATURE,en,067088684X
,['Dennis Foon'],1989,"Dennis Foon has written over twenty plays for the stage and directed countless others. He has written extensively for episodic television, including ""Emily of New Moon; "" ""Nothing Too Good for a Cowboy;"" ""Eerie, Indiana;"" ""Cold Squad;"" ""Deepwater Black"" and ""Wind at My Back."" As founding artistic director of Vancouver's acclaimed Green Thumb Theatre for 12 years, Dennis produced a body of plays that continue to be produced internationally in several languages and for which he has received the British Theatre Award, two Chalmers awards, the Jesse Richardson Career Achievement Award and the International Arts for Young Audiences Award. Double or Nothing is based on Dennis' play, ""Chasing the Money.""",0889782156,9780889782150.0,107.0,['Drama'],NOT_MATURE,en,0889782156
,,,,,,,,,,0771570147
,['Rosemary Allison'],1979-01-01,"This volume in the Kids of Canada series examines the challenges faced by children who move to a new and strange country. Angelina has just arrived from Italy and must face the teasing of her new schoolmates whose language is strange to her. When she meets Ram whose family is originally from India, life in Canada begins to look rosier The Pillow is a touching story of how kids can come together to overcome prejudice and misunderstanding.",0888622457,9780888622457.0,32.0,['Juvenile Fiction'],NOT_MATURE,en,0888622457
,['Lois Braun'],1986,"These unsentimental, passionate stories of modern rural life were nominated for the 1986 Governor General’s Award. Retired farmers cruise and booze around the countryside; a farm wife contemplates an affair with the hired hand; a cropduster opens the No Place Bar and Grill.... a diamond hard realism and authenticity.-Books in Canada",UOM:39015051354309,,200.0,['Fiction'],NOT_MATURE,en,0888011075
,"['Ann Duffy', 'Daniel Glenday']",2001,This book is intended for core text for courses on Canadian society found in Sociology and Canadian Studies departments.,STANFORD:36105110223232,,388.0,['Social Science'],NOT_MATURE,en,0195414373
,,,,,,,,,,0919964834
,['Gino Empry'],2002,"Tears, tantrums, sex and screaming fans...life among the stars is never dull. Gino Empry, Canada's leading publicist has been at the centre of the entertainment industry in North America for over four decades and at long last he is telling it all...From Frank Sinatra to Celine Dion, from Tony Bennett to Playboy to Cher. Gino Empry's client list is a veritable 'who's who' of the entertainment world. Gino has developed and nurtured the careers of many of North America's leading actors, singers and entertainers. Here we get to meet these people through the eyes of Gino Empry, the man behind the lights and glitz, the man who knew these people intimately, on-stage and off. He shared their lives, their loves and their laughter. Includes chapters on Cher, Ella Fitzgerald, Jack Lemmon, Tony Bennett, Peter O'Toole, Peggy Lee, Ed Mirvish, Yul Brenner, Marlene Dietrich, Rosemary Clooney, Duke Ellington, Jane Russell, Roch Voisine, Lena Horne, Phyllis Diller and Xaviera Hollander. Each chapter also contains rare photographs and visual materials culled from Gino Empry's vast personal archive. In this book we se the stars as more than celebrities, we see them as human beings.",0889627460,9780889627468.0,207.0,['Biography & Autobiography'],NOT_MATURE,en,0889627460
,,,,,,,,,,0333616219
,['Jane Roberts'],1976,,0671804154,9780671804152.0,252.0,['Extrasensory perception'],NOT_MATURE,en,0671804154
,['Barbara G. Walker'],1988-02-24,"A probing account of the honored place of older women in ancient matriarchal societies restores to contemporary women an energizing symbol of self-value, power, and respect.",9780062509345,62509349.0,212.0,['Social Science'],NOT_MATURE,en,0062509349
,['Whitley Strieber'],1993,"When a young woman Father John Rafferty has been counseling is murdered in his Greenwich Village church, Father John is plagued by public scorn, private doubt, and by an ancient evil lurking in the church",0451174968,9780451174963.0,422.0,['Fiction'],NOT_MATURE,en,0451174968
,"['Laurie Rozakis', 'Princeton Language Institute', 'Ellen Lichtenstein']",1995,"A collection of time-saving techniques enables readers to measure their reading speeds and comprehension levels, learn how to skim and pre-read, master the reading secrets of SQ3R and PQRST, and reduce computer-related eyestrain. Original.",0440217245,9780440217244.0,228.0,['Reference'],NOT_MATURE,en,0440217245
,['James Tucker'],1998-12-15,"A dedicated young surgeon, Dr. Jack Merlin is stunned when he recognizes the body currently being disected in the anatomy lab at Pittsburgh University Medical Center as being that of his former roommate, who had vanished months before. Original.",0451195914,9780451195913.0,404.0,['Fiction'],NOT_MATURE,en,0451195914
,['Phillip Schreibman'],1998,,0968327303,9780968327302.0,113.0,['Self-Help'],NOT_MATURE,en,0968327303
,['Esther M. Friesner'],1995,"Carl Sherwood, a computer whiz who lives in a dream world to escape his geekiness, becomes more and more wrapped up in the new Virtual Reality program that he is designing, until the Reality starts becoming more than Virtual. Original.",0671876414,9780671876418.0,377.0,['Fiction'],NOT_MATURE,en,0671876414
,['Marcus Clarke'],2002,"""Perhaps Australia's most significant and most famous 19th-century colonial novel, For the Term of His Natural Life is a narrative of great suffering-of whips, chains, and man's inhumanity. There is no attempt to soften the truth of the degradation and cruelty in convict Australia. Yet the novel is peopled with vivid characters-Rufus Dawes, condemned to transportation for a crime he did not commit, is one of the most unforgettable characters in Australian literature.""--Publisher description.",020719839X,9780207198397.0,542.0,['Fiction'],NOT_MATURE,en,020719839X
,['Daniel Silva'],2002-02-01,"Ari Shamron, the head of Israeli intelligence, calls on former intelligence operative Gabriel Allon to thwart a Palestinian plot to destroy the Middle East peace negotiations, a conspiracy linked to a Palestinian zealot with ties to Gabriel's past.",0449002128,9780449002124.0,433.0,['Fiction'],NOT_MATURE,en,0449002128
,"['Keith Harary, Ph.D.', 'Pamela Weintraub']",1999-03-15,Offers daily exercises designed to help readers achieve an out-of-body experience,031219983X,9780312199838.0,124.0,['Humor'],NOT_MATURE,en,031219983X
,,,,,,,,,,1887317015
,['Annie Pigeon'],1995,"A humorous guide to the afterlife includes advice for making small talk with angels, saints, and prophets, finding ""divine"" bargains when shopping, and how much money to bring for the toll at the tunnel",0821749870,9780821749876.0,86.0,['Religion'],NOT_MATURE,en,0821749870
,"['I. William Lane', 'Linda Comac']",1996,Traces the most recent developments in the use of shark cartilage in the battle against arthritis and cancer,0895297221,9780895297228.0,246.0,['Health & Fitness'],NOT_MATURE,en,0895297221
,['Deborah Koff-Chapin'],2000-12-01,"This set of 60 evocative images will speak directly to your soul. The accompanying guidebook suggests creative ways to deepen your experience of the cards and foster personal insight. SoulCards II is complete unto itself, or can be used with its companion deck, SoulCards I (0964562308) to enrich the range of imagery. Use SoulCards by yourself, with a partner or in a group. Use these powerfully evocative images to stimulate personal insight, creativity, inter-relational conversation and more. The guidebook supports you to use your creative resources to delve into the images through journal writing, storytelling, visualisation, movement, dream incubation and other expressive modalities. When used in relationships and groups, SoulCards catalyse refreshing responses and authentic communication. Children are fascinated with the images, and often verbalise with unexpected wisdom and maturity. The uses of SoulCards are endless!",0964562359,9780964562356.0,60.0,['Self-Help'],NOT_MATURE,en,0964562359
,['Julian Semyonov'],1988,"In a duel with his CIA counterpoint, Slavin uncovers a CIA plan to overthrow a black-governed country that has elected a Marxist leader and helps to unmask the mole who is passing on information to the Americans",0380705699,9780380705696.0,388.0,['Literary Criticism'],NOT_MATURE,en,0380705699
,['Donald T. Regan'],1989,"The deposed Chief of Staff charts his political rise and fall, offering a lively critique of the Reagan administration, particularly ""Irangate"" and the ensuing chaos for which many blamed Regan",0312915187,9780312915186.0,494.0,['History'],NOT_MATURE,en,0312915187
,['George Fetherling'],1994,,UOM:39015032095294,,255.0,"['Authors, Canadian']",NOT_MATURE,en,1895555663
,,,,,,,,,,0425097161
,"['John J. Pungente', ""Martin O'Malley""]",1999,"John Pungente has dedicated his career to the proposition that we are smarter than our television sets - notwithstanding some evidence to the contrary. Martin O'Malley for many years dedicated his television-watching time to nothing but baseball. Under Pungente's guidance, however, he has now discovered that there are other delights for the discriminating viewer. Together, in More than Meets the Eye, they offer readers an entertaining guide to critical viewing.",0771071000,9780771071003.0,254.0,['Performing Arts'],NOT_MATURE,en,0771071000
,['Christine Moodie'],1991,"Thirty hairstyles to suit any situation range from casual looks, to formal styles for the workplace, to sophisticated arrangements for evening, and are accompanied by tips on hair care, equipment, and techniques",0517582244,9780517582244.0,92.0,['Braids (Hairdressing)'],NOT_MATURE,en,0517582244
,"[""Kim O'neill""]",1995-11-01,"DISCOVER THE JOY OF SPIRITUAL LOVE AND FRIENDSHIP All human beings, whether they know it or not, have at least two guardian angels to guide them through life. To get in touch with your guardian angelic companions is to avail yourself of love, comfort, protection, and the ability to seize opportunities that will bring you peace of mind, success, and happiness. In How to Talk with Your Angels, professional psychic and teacher Kim O'Neill shares her own extraordinary experiences with angels and shows you how you too can open the door to the spiritual communication that will transform your life. Discover: The nine steps to getting in touch with your angels The art of listening to their heavenly wisdom What they can tell you about finding your soul mate How they can help you open your heart to joy and fulfillment How their words can help you overcome sorrow How they can point the way to life-changing opportunities When their warnings can save your life How they can help you communicate with lost loved ones and much, much more",9780380781942,380781948.0,228.0,['Religion'],NOT_MATURE,en,0380781948
,['Peter Wright'],1987,,0773721681,9780773721685.0,412.0,['Great Britain'],NOT_MATURE,en,0773721681
,,,,,,,,,,0563369647
,['Marge Piercy'],1990-04-30,"Centers on the conflict between Cape Cod locals Dinah, Willie, and Willie's wife Susan, and the summer vacationers who seasonally invade their small town",0449218422,9780449218426.0,420.0,['Fiction'],NOT_MATURE,en,0449218422
,,,,,,,,,,0517149907
,['Jack Higgins'],1992,"Elusive master terrorist Sean Dillon reemerges during the Gulf War when Saddam Hussein hires him to assassinate Margaret Thatcher, and only Martin Brosnan can stop him. 225,000 first printing. $150,000 ad/promo. BOMC Feat Alt. Reader's Digest Cond Bks.",0399137580,9780399137587.0,324.0,['Fiction'],NOT_MATURE,en,0399137580
,['W. Adam Mandelbaum'],2000-03-02,"A former intelligence professional sheds new light on the obscure intersection of the military and the paranormal-the Military-Occult Complex-and reveals the incredible story of psychic abilities turned into a weapon of war by the world's soldiers and spies. In the annals of military and espionage history there have been many strange tales to be told, but none can match the saga of psychic espionage-the history of the Military-Occult Complex. With the flavor of fiction, but the foundation of fact, The Psychic Battlefield is the complete history of the use of man's extrasensory powers in search of the information needed to win wars-hot and cold. The Psychic Battlefield spans the five thousand-year history of ESPionage, from the attempted overthrow of the Pharaoh Rameses by magic to the CIA use of military-trained psychics during the Cold War. It is a story as true as it is incredible. This book reveals the story of the sacred Templar skull; the Angelic communications of John Dee, intelligence agent of Queen Elizabeth I; the psychic stranglehold of Rasputin on the Romanovs; and the occult endeavors of the Nazis and the Soviets. The Psychic Battlefield contains the names and rites of the old demons of war, contacted by military strategists in search of supernatural support. It explains and discusses different methods of divination used by armies throughout history, and reveals the various ways of making a soldier into a superman. The cast of characters includes such noteworthy names as sorcerer-poet Aleister Crowley, author Ian Fleming, spoon-bending General Stubblebine, and Psychic Warrior David Morehouse. In addition, the book features an exclusive interview with top psychic spy Joseph McMoneagle. Most remarkable of all is Mandelbaum's fascinating exposé of the paranormal research and remote viewing experiments conducted by the CIA, as well as the real effectiveness of the government's Stargate program. Attorney, psychic, former intelligence professional and dark-side investigative reporter W. Adam Mandelbaum clearly demonstrates that the final frontier of future wars and spies is the mind. Stay tuned.",031220955X,9780312209551.0,336.0,['History'],NOT_MATURE,en,031220955X
,['Janet Bord'],1998-08-10,"Hordes of tiny people playing at a spot in Wales called ""Fairies Bog""...an impossibly tiny shoe found in Ireland...fairy dust discovered on Mount Shasta, California...the wondrous sighting of a winged woman inside a rose. These and many more astounding accounts offer tangible evidence about the existence of fairies, dwarves, gnomes, pixies, brownies, and elves. Amazing facts include information on the healing powers of fairies, the connection between the little people and UFOs, fairy sites to visit in the British Isles, and much more!",0440226120,9780440226123.0,276.0,"['Body, Mind & Spirit']",NOT_MATURE,en,0440226120
,['Jay Conrad Levinson'],1989,"At a time when millions of small businesses are flourishing, here is the optimum plan of attack for businesses that want to cash in on the high profits and low costs of guerrilla marketing.",0395502209,9780395502204.0,212.0,['Business & Economics'],NOT_MATURE,en,0395502209
,"['Al Ries', 'Jack Trout']",1986,,0446328979,9780446328975.0,213.0,['Positioning (Advertising)'],NOT_MATURE,en,0446328979
,['Terry Kay'],1993,"Sam Peek, an elderly farmer mourning the death of his beloved wife of fifty-seven years, discovers a mysterious white dog that seems invisible to everyone but himself. Reprint. TV tie-in.",0671883658,9780671883652.0,260.0,['Fiction'],NOT_MATURE,en,0671883658
,['Budd Hopkins'],1996,"An account of a UFO abduction in New York City features testimony from third-party individuals who witnessed the abduction, including a major world leader who oversaw the events. By the author of Intruders.",0671569155,9780671569150.0,399.0,"['Body, Mind & Spirit']",NOT_MATURE,en,0671569155
,,,,,,,,,,0312099215
,,,,,,,,,,0802068634
,,,,,,,,,,0346125138
,,,,,,,,,,0517592398
,"['John E. Douglas', 'Mark Olshaker']",1998-01,Combines profiles of numerous well-known criminal cases with practical advice on how to protect oneself against attack in a study of the violent crimes committed against women and the elderly,0671017047,9780671017040.0,481.0,['True Crime'],NOT_MATURE,en,0671017047
,"['John E. Douglas', 'Mark Olshaker']",1995,The head of the FBI's investigative unit that deals with serial killers demonstrates his celebrated talent for getting inside their minds,STANFORD:36105018242284,,400.0,['Social Science'],NOT_MATURE,en,0684803763
,"['Peter R. De Forest', 'Robert E. Gaensslen', 'Henry C. Lee']",1983-01,This book is a basic textbook for use in college and university forensic science courses at the introductory level in which little or no prior knowledge of science has been assumed. Most of the book is devoted to a careful exploration of the importance of physical evidence and this new edition includes a chapter on DNA.,0070162670,9780070162679.0,463.0,['Social Science'],NOT_MATURE,en,0070162670
,['Penny Hicks'],1995,Donation.,0749509139,9780749509132.0,230.0,"['Architecture, Domestic']",NOT_MATURE,en,0749509139
,['John Canning'],1990-11,Contains a kaleidoscope of true-life stories which will intrigue and chill even the most hardened armchair sleuth.,1555215890,9781555215897.0,200.0,['True Crime'],NOT_MATURE,en,1555215890
,"['James Dubro', 'Robin F. Rowland']",1991-01-01,,0409905399,9780409905397.0,314.0,['Fiction'],NOT_MATURE,en,0409905399
,['Budd Hopkins'],1988,"Presents a critical study of the UFO phenomenon, focusing on the true story of Kathie Davis, a woman who claims that she was abducted by aliens",0345346335,9780345346339.0,318.0,['Fiction'],NOT_MATURE,en,0345346335
,"['Gary Crosby', 'Ross Firestone']",1983,"Bing Crosby's eldest son discusses the problems of growing up in the family of a celebrity, his relationship with his father, his battle with drugs and alcoholism, and his own career",UCSD:31822000092247,,332.0,['Music'],NOT_MATURE,en,0385170556
,['Marsha Sinetar'],2000,"Discusses how people can integrate prayer, harmony, and meditation in busy schedules in order to lead a more balanced, spiritual lifestyle.",0060196327,9780060196325.0,148.0,['Religion'],NOT_MATURE,en,0060196327
,['Andrew Scott Berg'],1998,The first and only writer to be granted unrestricted access to the archives of Charles A. Lindbergh presents an exhaustive biography of the heroic aviator,0399144498,9780399144493.0,690.0,['Biography & Autobiography'],NOT_MATURE,en,0399144498
,"['Sandra K. Hirsh', 'Jane A.G. Kise']",1998-10-07,Two experts in the psychological field explain how the Myers Briggs Type Indicator can be employed to help readers discover the spiritual path that best suits their individual personality.,0786882891,9780786882892.0,336.0,['Religion'],NOT_MATURE,en,0786882891
,,,,,,,,,,0440982391
,['Ursula Hegi'],1995,"Julia, pregnant at age forty-one, travels through fear, longing, and love on a journey back to childhood when she returns home to the father she has not seen in twenty-three years to learn why her family came apart. 30,000 first printing. $50,000 ad/promo. Tour.",UCSC:32106011667463,,248.0,['Fiction'],NOT_MATURE,en,0684802090
,"['Henry Beard', 'Christopher Cerf']",1992,A humorous send-up of political correctness in dictionary form,UOM:39015032918461,,202.0,['Humor'],NOT_MATURE,en,0679741135
,"['Barbara D. Ingersoll', 'Sam Goldstein']",1996,"Defines childhood depression in straightforward terms, explaining how parents can recognize warning signs and outlining the various medical, psychological, and environmental causes and treatments. Reprint.",0385476426,9780385476423.0,225.0,['Education'],NOT_MATURE,en,0385476426
,,,,,,,,,,880781224X
,['Fabio Giovannini'],2000,,8882101800,9788882101800.0,228.0,['Performing Arts'],NOT_MATURE,it,8882101800
,['Robert Ludlum'],1999,"It begins in Geneva. There American lawyer Joel Converse meets a man he hasn't seen in twenty years, a covert operative who dies violently at his feet, whispering words that hand Converse a staggering legacy of death: "" THE GENERALS...THEY'RE BACK...AQUITAINE!"" Suddenly Converse is running for his life, alone with the world's most shattering secret. Pursued by anonymous executioners to the dark corners of Europe, he is forced to play a game of survival by blood rules he thought he'd long left behind. One by one, he traces each thread of a deadly progression to the hear of every major government-- a network of coordinated global violence that no one believes possible. No one but Converse and the woman he once loved and lost. The only two people on earth who can wrest the world from the iron grasp of Aquitaine.",0586052771,9780586052778.0,852.0,['American fiction'],NOT_MATURE,en,0586052771
