ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0658001701,Life Without Bread,Christian B. Allan,2000,McGraw-Hill,http://images.amazon.com/images/P/0658001701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0658001701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0658001701.01.LZZZZZZZ.jpg
0553106511,Brave Journeys: Profiles in Gay and Lesbian Courage,David B. Mixner,2000,Bantam Books,http://images.amazon.com/images/P/0553106511.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553106511.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553106511.01.LZZZZZZZ.jpg
1575726769,Indonesia (Next Stop),Fred Martin,1998,Heinemann,http://images.amazon.com/images/P/1575726769.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575726769.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575726769.01.LZZZZZZZ.jpg
1575725657,France (Next Stop),Clare Boast,1998,Heinemann Library,http://images.amazon.com/images/P/1575725657.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575725657.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575725657.01.LZZZZZZZ.jpg
1903809142,"The Beat Hotel: Ginsberg, Burroughs and Corso in Paris, 1957-63",Barry Miles,2001,Atlantic Books,http://images.amazon.com/images/P/1903809142.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1903809142.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1903809142.01.LZZZZZZZ.jpg
0307107736,The Powerpuff Girls Guide to Being a Superhero (Powerpuff Girls (Golden)),Craig McCracken,2001,Golden Books Publishing Company,http://images.amazon.com/images/P/0307107736.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0307107736.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0307107736.01.LZZZZZZZ.jpg
1575720272,Kenya (Worldfocas),David Marshall,1996,Heinemann,http://images.amazon.com/images/P/1575720272.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575720272.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575720272.01.LZZZZZZZ.jpg
0434010472,My Father's War,A. Van Dis,2003,Arrow (A Division of Random House Group),http://images.amazon.com/images/P/0434010472.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0434010472.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0434010472.01.LZZZZZZZ.jpg
1575720329,Ethiopia (Worldfocus),Angela Grunsell,1996,Heinemann,http://images.amazon.com/images/P/1575720329.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575720329.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575720329.01.LZZZZZZZ.jpg
1575720159,Kintu's Mistake (Myths and Legends),Rosalind Kerven,1996,Heinemann Library,http://images.amazon.com/images/P/1575720159.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575720159.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575720159.01.LZZZZZZZ.jpg
0451525728,Indiana (Signet Classic),George Sand,1995,Signet Classics,http://images.amazon.com/images/P/0451525728.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451525728.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451525728.01.LZZZZZZZ.jpg
0140115234,An Easy Thing (Penguin Crime Mystery),Paco Ignacio Taibo II,1990,Penguin USA,http://images.amazon.com/images/P/0140115234.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140115234.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140115234.01.LZZZZZZZ.jpg
0340794615,Ungrateful Daughters: The Stuart Princesses Who Stole Their Father's Crown,Maureen Waller,2002,Hodder &amp; Stoughton,http://images.amazon.com/images/P/0340794615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0340794615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0340794615.01.LZZZZZZZ.jpg
047126394X,Finding the Center Within : The Healing Way of Mindfulness Meditation,Thomas Bien,2003,Wiley,http://images.amazon.com/images/P/047126394X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/047126394X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/047126394X.01.LZZZZZZZ.jpg
1556617151,"Too Many Treasures (Backpack Mystery, No. 1)",Mary Reid,1996,Bethany House Publishers,http://images.amazon.com/images/P/1556617151.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556617151.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556617151.01.LZZZZZZZ.jpg
0297818155,Cromwell: Our Chief of Men,Antonia Fraser,1997,"George Weidenfeld &amp; Nicholson, Ltd.",http://images.amazon.com/images/P/0297818155.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0297818155.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0297818155.01.LZZZZZZZ.jpg
1572558016,Mae Jemison (Mondo Chapter Books),Sonia W. Black,2000,Mondo Publishing,http://images.amazon.com/images/P/1572558016.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1572558016.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1572558016.01.LZZZZZZZ.jpg
3442350530,TÃ?Â¶chter der See.,Nora Roberts,1999,Goldmann,http://images.amazon.com/images/P/3442350530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442350530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442350530.01.LZZZZZZZ.jpg
0800875524,Tchaikovsky: A Self-Portrait,Victor Volkoff,1975,Taplinger Pub Co,http://images.amazon.com/images/P/0800875524.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0800875524.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0800875524.01.LZZZZZZZ.jpg
0826211895,Praying for Base Hits: An American Boyhood,Bruce Clayton,1998,University of Missouri Press,http://images.amazon.com/images/P/0826211895.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0826211895.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0826211895.01.LZZZZZZZ.jpg
0946418004,Endless street: A history of Salisbury and its people,John Chandler,1983,Hobnob Press,http://images.amazon.com/images/P/0946418004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0946418004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0946418004.01.LZZZZZZZ.jpg
0307109704,You Lucky Duck: Story and Pictures (Golden Storytime Book),Emily Arnold McCully,1988,Golden Books,http://images.amazon.com/images/P/0307109704.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0307109704.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0307109704.01.LZZZZZZZ.jpg
0439332125,"Mojo Mayhem (Powerpuff Girls Chapter Book, 11)",E. S. Mooney,2002,Scholastic,http://images.amazon.com/images/P/0439332125.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439332125.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439332125.01.LZZZZZZZ.jpg
0140069909,"The King's peace, 1637-1641",C. V Wedgwood,1983,Penguin,http://images.amazon.com/images/P/0140069909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140069909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140069909.01.LZZZZZZZ.jpg
0750928166,Lady Jane Grey: Nine Days Queen,Alison Plowden,2003,Sutton Publishing,http://images.amazon.com/images/P/0750928166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0750928166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0750928166.01.LZZZZZZZ.jpg
0340707666,"Dynasty: The Stuarts, 1560-1807",John MacLeod,1999,Hodder &amp; Stoughton,http://images.amazon.com/images/P/0340707666.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0340707666.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0340707666.01.LZZZZZZZ.jpg
0151874301,Swoosh: The Unauthorized Story of Nike and the Men Who Played There,J.B. Strasser,1992,Harcourt,http://images.amazon.com/images/P/0151874301.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151874301.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151874301.01.LZZZZZZZ.jpg
0708819338,King Charles II,Antonia Fraser,0,Futura Publishing Co Inc,http://images.amazon.com/images/P/0708819338.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0708819338.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0708819338.01.LZZZZZZZ.jpg
029781348X,Gunpowder Plot Terror and Faith In 1605,Antonia Fraser,0,Trafalgar Square,http://images.amazon.com/images/P/029781348X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/029781348X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/029781348X.01.LZZZZZZZ.jpg
0819308013,Liza Lou and the Yeller Belly Swamp,Mercer Mayer,1976,Parents' Magazine Press,http://images.amazon.com/images/P/0819308013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0819308013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0819308013.01.LZZZZZZZ.jpg
0786708549,Bloody Mary's Martyrs: The Story of England's Terror,Jasper Ridley,2001,Carroll &amp; Graf Publishers,http://images.amazon.com/images/P/0786708549.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786708549.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786708549.01.LZZZZZZZ.jpg
0671430149,Tingambato:  Adventure in Archaeology,Iris Noble,1983,Silver Burdett Press,http://images.amazon.com/images/P/0671430149.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671430149.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671430149.01.LZZZZZZZ.jpg
0750931787,The Diaries of Lady Anne Clifford,D. J. H. Clifford,2003,Sutton Publishing,http://images.amazon.com/images/P/0750931787.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0750931787.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0750931787.01.LZZZZZZZ.jpg
037540211X,The Good Man of Nanking: The Diaries of John Rabe,John Rabe,1998,Random House Inc,http://images.amazon.com/images/P/037540211X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037540211X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037540211X.01.LZZZZZZZ.jpg
1842126253,Mary Tudor: The Spanish Tudor,H.F.M. Prescott,2003,Phoenix Press,http://images.amazon.com/images/P/1842126253.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1842126253.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1842126253.01.LZZZZZZZ.jpg
0684871599,Germs: Biological Weapons and America's Secret War,Judith Miller,2002,Simon &amp; Schuster,http://images.amazon.com/images/P/0684871599.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684871599.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684871599.01.LZZZZZZZ.jpg
185283952X,Robert Carriers Gourmet Vegetarian,Robert Carrier,0,Boxtree,http://images.amazon.com/images/P/185283952X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/185283952X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/185283952X.01.LZZZZZZZ.jpg
0060806559,Dead Calm (Perennial library),Charles F. Williams,1983,Harpercollins,http://images.amazon.com/images/P/0060806559.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060806559.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060806559.01.LZZZZZZZ.jpg
1842125605,Elizabeth &amp; Leicester,Elizabeth Jenkins,2002,Phoenix Press,http://images.amazon.com/images/P/1842125605.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1842125605.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1842125605.01.LZZZZZZZ.jpg
1878726021,Of These Ye May Freely Eat: A Vegetarian Cookbook,Joann Rachor,1991,Family Health Publications,http://images.amazon.com/images/P/1878726021.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1878726021.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1878726021.01.LZZZZZZZ.jpg
1860199976,Wars of the Roses,Robin Neillands,0,Brockhampton Press,http://images.amazon.com/images/P/1860199976.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1860199976.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1860199976.01.LZZZZZZZ.jpg
0226504646,Elizabeth I: Collected Works,Elizabeth,2000,University of Chicago Press,http://images.amazon.com/images/P/0226504646.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0226504646.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0226504646.01.LZZZZZZZ.jpg
1580173675,The Essence of Incense : Bringing Fragrance into the Home,Diana Rosen,2001,Storey Books,http://images.amazon.com/images/P/1580173675.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1580173675.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1580173675.01.LZZZZZZZ.jpg
0425156265,No Place for Tears (Senior Sleuth Fred Vickery),Sherry Lewis,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425156265.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425156265.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425156265.01.LZZZZZZZ.jpg
3765518018,Leadership. Die 21 wichtigsten FÃ?Â¼hrungsprinzipien.,John C. Maxwell,2002,"Brunnen-Verlag, GieÃ?Â?en",http://images.amazon.com/images/P/3765518018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3765518018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3765518018.01.LZZZZZZZ.jpg
0312727623,Skeletons from the Opera Closet,David L. Groover,1986,St Martins Pr,http://images.amazon.com/images/P/0312727623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312727623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312727623.01.LZZZZZZZ.jpg
0062510401,"Gay Soul: Finding the Heart of Gay Spirit and Nature With Sixteen Writers, Healers, Teachers, and Visionaries",Mark Thompson,1994,Harpercollins,http://images.amazon.com/images/P/0062510401.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062510401.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062510401.01.LZZZZZZZ.jpg
0006363113,Queen of Shaba: The Story of an African Leopard,Joy Adamson,1981,HarperCollins Publishers,http://images.amazon.com/images/P/0006363113.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0006363113.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0006363113.01.LZZZZZZZ.jpg
0451201299,The Shamus Game,Robert J. Randisi,2000,Signet Book,http://images.amazon.com/images/P/0451201299.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451201299.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451201299.01.LZZZZZZZ.jpg
0671719297,Rice,Su Tong,1995,Simon &amp; Schuster (Trade Division),http://images.amazon.com/images/P/0671719297.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671719297.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671719297.01.LZZZZZZZ.jpg
0786706260,The Mammoth Book of Jack the Ripper,Maxim Jakubowski,1999,Carroll &amp; Graf Publishers,http://images.amazon.com/images/P/0786706260.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786706260.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786706260.01.LZZZZZZZ.jpg
